date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:31:28	19652/19652	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:49%20GMT	https://templates.envytheme.com/erudex/default/contact.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/contact.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:28	3153/3153	---M--	200	added ('OK')	image/png	etag:%2261222b32-1487%22	https://templates.envytheme.com/erudex/default/assets/images/logo.png	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/logo.png	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:28	34200/34200	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:51%20GMT	https://templates.envytheme.com/erudex/default/index-2.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/index-2.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:29	37321/37321	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2012:35:55%20GMT	https://templates.envytheme.com/erudex/default/index-3.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/index-3.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:29	22908/22908	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:46%20GMT	https://templates.envytheme.com/erudex/default/about-us.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/about-us.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:29	22909/22909	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:55%20GMT	https://templates.envytheme.com/erudex/default/services.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/services.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:29	19461/19461	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:55%20GMT	https://templates.envytheme.com/erudex/default/service-robotic-animation.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/service-robotic-animation.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:30	17449/17449	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:52%20GMT	https://templates.envytheme.com/erudex/default/pricing.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/pricing.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:30	24929/24929	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:49%20GMT	https://templates.envytheme.com/erudex/default/faqs.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/faqs.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:30	19232/19232	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:52%20GMT	https://templates.envytheme.com/erudex/default/our-team.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/our-team.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:30	19774/19774	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:53%20GMT	https://templates.envytheme.com/erudex/default/projects.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/projects.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:31	19525/19525	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:56%20GMT	https://templates.envytheme.com/erudex/default/single-project.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/single-project.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:31	18053/18053	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:48%20GMT	https://templates.envytheme.com/erudex/default/cases.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/cases.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:31	18139/18139	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:48%20GMT	https://templates.envytheme.com/erudex/default/cases-two-columns.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/cases-two-columns.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:31	19196/19196	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:56%20GMT	https://templates.envytheme.com/erudex/default/single-case.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/single-case.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:31	21029/21029	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:57%20GMT	https://templates.envytheme.com/erudex/default/testimonial.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/testimonial.html	(from https://templates.envytheme.com/erudex/default/index.html)
